websites_link,HTMLElement,Category
https://www.amazon.com/,"<input id=""twotabsearchtextbox"" value="""" name=""field-keywords"" autocomplete=""off"" placeholder="""" class=""nav-input nav-progressive-attribute"" dir=""auto"" tabindex=""0"" aria-label=""Search"" type=""text"">",Search
https://www.ebay.com/,"<input class=""gh-tb ui-autocomplete-input"" aria-autocomplete=""list"" aria-expanded=""false"" size=""50"" maxlength=""300"" aria-label=""Search for anything"" placeholder=""Search for anything"" id=""gh-ac"" name=""_nkw"" autocapitalize=""off"" autocorrect=""off"" spellcheck=""false"" autocomplete=""off"" type=""text"">",Search
https://shop.bbc.com/,"<input type=""search"" id=""bc-sf-search-box-0"" class=""search-bar__input label ui-autocomplete-input bc-sf-search-box"" name=""q"" js-search-bar=""input"" autocomplete=""off"" data-search-box=""#bc-sf-search-box-0"" tabindex=""-1"">",Search
https://www.aliexpress.com/,"<input type=""text"" placeholder=""iphone 13 pro max case"" maxlength=""50"" autocomplete=""off"" value="""" name=""SearchText"" class=""search-key"" id=""search-key"">",Search
https://www.amazon.co.uk/,"<input id=""twotabsearchtextbox"" value="""" name=""field-keywords"" autocomplete=""off"" placeholder="""" class=""nav-input nav-progressive-attribute"" dir=""auto"" tabindex=""0"" aria-label=""Search"" type=""text"">",Search
https://www.etsy.com/,"<input id=""global-enhancements-search-query"" data-id=""search-query"" data-search-input="""" type=""text"" name=""search_query"" class=""wt-input wt-input-btn-group__input global-enhancements-search-input-btn-group__input
                        
                         wt-pr-xs-7
                        "" placeholder=""Search for anything"" value="""" autocomplete=""off"" autocorrect=""off"" autocapitalize=""off"">",Search
https://www.walmart.com/,"<input type=""search"" aria-label=""Search"" aria-activedescendant="""" class=""b--none f5 flex-auto lh-solid sans-serif br-pill"" name=""q"" placeholder=""Search everything at Walmart online and in store"" style=""height:40px;padding-left:1rem;padding-right:2.5rem"" value="""">",Search
https://www.alibaba.com/,"<input type=""text"" class=""ui-searchbar-keyword"" name=""SearchText"" autocomplete=""off"" x-webkit-speech=""x-webkit-speech"" x-webkit-grammar=""builtin:translate"" lang=""en"" placeholder=""What are you looking for..."" value="""" data-spm-anchor-id=""a2700.8293689.scGlobalHomeHeader.i0.2ce267afX16lz9"">",Search
https://www.bestbuy.com/?intl=nosplash,"<input type=""text"" id=""gh-search-input"" class=""search-input"" name=""st"" maxlength=""90"" placeholder=""Search Best Buy"" autocomplete=""off"" aria-label=""Type to search. Navigate forward to hear suggestions"" value="""" autocorrect=""off"" autocapitolize=""off"" spellcheck=""false"" aria-controls=""suggestViewClientComponent"">",Search
https://www.homedepot.com/,"<input class=""SearchBox__input"" id=""headerSearch"" type=""text"" autocomplete=""off"" required="""">",Search
https://www.target.com/,"<input type=""search"" aria-label=""Search: suggestions appear below"" autocapitalize=""off"" autocomplete=""off"" autocorrect=""off"" data-test=""@web/Search/SearchInput"" id=""search"" name=""searchTerm"" placeholder=""Search"" value="""" class=""SearchInput__StyledInput-sc-1eyws09-0 fOhryt"">",Search
https://www.wayfair.com/,"<input type=""search"" autocomplete=""off"" aria-controls=""SearchBarDropdown"" aria-autocomplete=""list"" aria-activedescendant="""" class=""StyledBox-owpd5f-0 FloatLabel__FloatLabelInput-sc-1i0wezz-1  guNylu pl-TextInput-input pl-TextInput-input pl-FloatLabel-input"" id=""searchInput"" name=""keyword"" value="""" required="""" placeholder=""Find anything home..."" data-enzyme-id=""textInput"">",Search
https://store.steampowered.com/,"<input id=""store_nav_search_term"" name=""term"" type=""text"" class=""default"" placeholder=""search"" size=""22"" autocomplete=""off"" maxlength=""64"">",Search
https://www.nike.com/gb/,"<input type=""text"" id=""VisualSearchInput"" class=""pre-search-input headline-5"" name=""search"" autocomplete=""off"" data-var=""vsInput"" tabindex=""0"" placeholder=""Search"" aria-label=""Search Products"" role=""combobox"" aria-controls=""VisualSearchSuggestionsList"" aria-owns=""VisualSearchSuggestionsList"" aria-expanded=""false"">",Search
https://www.costco.com/,"<input id=""search-field"" type=""text"" name=""keyword"" class=""form-control typeahead cstm-margn tt-input"" aria-describedby=""search-field-description"" placeholder=""Search"" aria-label=""Search"" onkeyup=""window.COSTCO.util.announceFirstSuggestion()"" autocomplete=""off"" spellcheck=""false"" dir=""auto"" style=""position: relative; vertical-align: top; background-color: transparent;"">",Search
